State,Year,Group_Name,Sub_Group,Acquitted,Withdrawn,Arrested,Chargesheeted,Convicted,Released_Before_Trial,Trial_Completed,Persons_Under_Trial_At_Year_Beginning,Total_Persons_Under_Trial,High_Crime_Area
Andaman & Nicobar Islands,2001,Rape,01. Rape,6,0,3,3,0,0,6,48,51,False
Andhra Pradesh,2001,Rape,01. Rape,1168,13,1150,1021,246,34,1414,2597,3618,True
Arunachal Pradesh,2001,Rape,01. Rape,1,0,51,31,2,15,3,319,350,True
Assam,2001,Rape,01. Rape,403,14,928,585,120,190,523,2283,2868,True
Bihar,2001,Rape,01. Rape,756,0,1400,1302,217,241,973,5634,6936,True
Chandigarh,2001,Rape,01. Rape,12,0,32,31,2,1,14,42,73,True
Chhattisgarh,2001,Rape,01. Rape,636,67,1134,1213,276,0,912,4684,5897,True
Dadra & Nagar Haveli,2001,Rape,01. Rape,9,0,10,11,1,0,10,31,42,True
Daman & Diu,2001,Rape,01. Rape,3,0,0,1,0,0,3,3,4,False
Delhi,2001,Rape,01. Rape,166,0,454,394,157,15,323,2526,2920,True
Goa,2001,Rape,01. Rape,12,0,14,15,22,1,34,74,89,True
Gujarat,2001,Rape,01. Rape,223,10,401,411,32,0,255,3065,3476,True
Haryana,2001,Rape,01. Rape,443,1,539,519,126,2,569,1071,1590,True
Himachal Pradesh,2001,Rape,01. Rape,110,0,152,146,36,4,146,675,821,True
Jammu & Kashmir,2001,Rape,01. Rape,132,5,222,225,8,0,140,829,1054,True
Jharkhand,2001,Rape,01. Rape,267,15,637,885,114,35,381,766,1651,True
Karnataka,2001,Rape,01. Rape,280,9,361,372,48,24,328,1574,1946,True
Kerala,2001,Rape,01. Rape,136,6,712,673,33,13,169,2421,3094,True
Lakshadweep,2001,Rape,01. Rape,0,0,0,1,0,0,0,0,1,False
Madhya Pradesh,2001,Rape,01. Rape,2285,9,3212,3199,720,5,3005,8644,11843,True
Maharashtra,2001,Rape,01. Rape,1085,17,1886,1915,155,29,1240,13736,15651,True
Manipur,2001,Rape,01. Rape,1,0,17,4,0,20,1,61,65,True
Meghalaya,2001,Rape,01. Rape,13,0,29,26,0,9,13,257,283,True
Mizoram,2001,Rape,01. Rape,12,0,64,69,44,0,56,85,154,True
Nagaland,2001,Rape,01. Rape,0,3,28,13,6,0,6,51,64,True
Odisha,2001,Rape,01. Rape,417,0,887,885,96,3,513,2657,3542,True
Puducherry,2001,Rape,01. Rape,0,0,13,12,0,0,0,8,20,True
Punjab,2001,Rape,01. Rape,240,4,459,418,133,16,373,497,915,True
Rajasthan,2001,Rape,01. Rape,1055,10,1147,1146,402,0,1457,5333,6479,True
Sikkim,2001,Rape,01. Rape,5,0,6,5,2,0,7,5,10,False
Tamil Nadu,2001,Rape,01. Rape,267,10,565,534,130,24,397,1566,2100,True
Tripura,2001,Rape,01. Rape,59,0,139,80,17,50,76,74,154,True
Uttar Pradesh,2001,Rape,01. Rape,939,25,2685,2525,1032,115,1971,8931,11456,True
Uttarakhand,2001,Rape,01. Rape,46,2,82,79,36,2,82,341,420,True
West Bengal,2001,Rape,01. Rape,706,0,1027,830,54,144,760,5873,6703,True
Andaman & Nicobar Islands,2002,Rape,01. Rape,2,0,6,12,1,0,3,45,57,False
Andhra Pradesh,2002,Rape,01. Rape,856,15,1340,1322,175,51,1031,2191,3513,True
Arunachal Pradesh,2002,Rape,01. Rape,5,0,61,29,0,20,5,347,376,True
Assam,2002,Rape,01. Rape,342,20,1019,720,99,180,441,2331,3051,True
Bihar,2002,Rape,01. Rape,604,0,1304,1126,157,329,761,5963,7089,True
Chandigarh,2002,Rape,01. Rape,6,0,28,20,1,4,7,59,79,True
Chhattisgarh,2002,Rape,01. Rape,1415,68,1214,1230,674,7,2089,4924,6154,True
Dadra & Nagar Haveli,2002,Rape,01. Rape,17,0,3,3,2,0,19,32,35,False
Daman & Diu,2002,Rape,01. Rape,0,0,0,0,0,0,0,1,1,False
Delhi,2002,Rape,01. Rape,479,0,546,453,112,18,591,2597,3050,True
Goa,2002,Rape,01. Rape,6,0,12,13,8,0,14,55,68,True
Gujarat,2002,Rape,01. Rape,268,25,378,371,30,0,298,3211,3582,True
Haryana,2002,Rape,01. Rape,465,6,511,535,125,1,590,1020,1555,True
Himachal Pradesh,2002,Rape,01. Rape,145,1,204,176,25,16,170,675,851,True
Jammu & Kashmir,2002,Rape,01. Rape,190,2,203,202,11,1,201,909,1111,True
Jharkhand,2002,Rape,01. Rape,969,12,873,1052,180,32,1149,2347,3399,True
Karnataka,2002,Rape,01. Rape,361,1,357,338,42,16,403,1609,1947,True
Kerala,2002,Rape,01. Rape,227,7,600,567,29,4,256,2919,3486,True
Lakshadweep,2002,Rape,01. Rape,0,0,2,0,1,0,1,1,1,False
Madhya Pradesh,2002,Rape,01. Rape,2742,18,3926,3978,979,0,3721,8829,12807,True
Maharashtra,2002,Rape,01. Rape,1468,17,1871,1821,210,5,1678,14394,16215,True
Manipur,2002,Rape,01. Rape,0,0,18,7,0,4,0,64,71,True
Meghalaya,2002,Rape,01. Rape,2,1,45,32,0,8,2,270,302,True
Mizoram,2002,Rape,01. Rape,4,0,83,98,41,0,45,76,174,True
Nagaland,2002,Rape,01. Rape,0,0,20,18,14,3,14,55,73,True
Odisha,2002,Rape,01. Rape,469,0,820,827,133,1,602,3029,3856,True
Puducherry,2002,Rape,01. Rape,1,0,8,5,2,0,3,20,25,True
Punjab,2002,Rape,01. Rape,319,8,538,460,143,43,462,538,998,True
Rajasthan,2002,Rape,01. Rape,1191,13,937,964,409,2,1600,5012,5976,True
Sikkim,2002,Rape,01. Rape,2,0,2,2,1,0,3,3,5,False
Tamil Nadu,2002,Rape,01. Rape,524,12,695,642,151,17,675,1693,2335,True
Tripura,2002,Rape,01. Rape,88,1,141,97,26,37,114,78,175,True
Uttar Pradesh,2002,Rape,01. Rape,1202,24,2050,2093,1142,141,2344,9460,11553,True
Uttarakhand,2002,Rape,01. Rape,42,0,142,116,58,11,100,336,452,True
West Bengal,2002,Rape,01. Rape,491,0,1279,1137,79,89,570,5943,7080,True
Andaman & Nicobar Islands,2003,Rape,01. Rape,3,0,6,1,3,0,6,54,55,False
Andhra Pradesh,2003,Rape,01. Rape,881,6,1237,1198,156,17,1037,2467,3665,True
Arunachal Pradesh,2003,Rape,01. Rape,0,0,35,26,0,16,0,371,397,True
Assam,2003,Rape,01. Rape,438,29,1188,882,117,254,555,2590,3472,True
Bihar,2003,Rape,01. Rape,870,0,1120,913,197,180,1067,6328,7241,True
Chandigarh,2003,Rape,01. Rape,17,0,32,32,10,2,27,72,104,True
Chhattisgarh,2003,Rape,01. Rape,662,16,1020,1006,313,1,975,4153,5159,True
Dadra & Nagar Haveli,2003,Rape,01. Rape,2,0,1,0,3,1,5,20,20,False
Daman & Diu,2003,Rape,01. Rape,0,0,6,3,0,0,0,1,4,False
Delhi,2003,Rape,01. Rape,429,0,624,596,147,9,576,2459,3055,True
Goa,2003,Rape,01. Rape,22,1,36,18,8,1,30,54,72,True
Gujarat,2003,Rape,01. Rape,282,4,356,362,31,0,313,3259,3621,True
Haryana,2003,Rape,01. Rape,510,0,523,519,139,0,649,959,1478,True
Himachal Pradesh,2003,Rape,01. Rape,141,0,146,157,33,9,174,680,837,True
Jammu & Kashmir,2003,Rape,01. Rape,103,4,266,265,14,0,117,908,1173,True
Jharkhand,2003,Rape,01. Rape,354,29,759,721,189,21,543,2238,2959,True
Karnataka,2003,Rape,01. Rape,389,1,410,349,41,27,430,1543,1892,True
Kerala,2003,Rape,01. Rape,264,2,517,520,71,15,335,3223,3743,True
Lakshadweep,2003,Rape,01. Rape,0,0,2,2,0,0,0,0,2,False
Madhya Pradesh,2003,Rape,01. Rape,2767,65,3694,3665,780,0,3547,10313,13978,True
Maharashtra,2003,Rape,01. Rape,1367,33,1856,1804,261,12,1628,14520,16324,True
Manipur,2003,Rape,01. Rape,1,0,19,4,3,10,4,71,75,True
Meghalaya,2003,Rape,01. Rape,3,0,50,18,2,6,5,299,317,True
Mizoram,2003,Rape,01. Rape,9,0,70,54,112,0,121,127,181,True
Nagaland,2003,Rape,01. Rape,1,0,14,13,12,2,13,59,72,True
Odisha,2003,Rape,01. Rape,561,0,839,819,152,0,713,3254,4073,True
Puducherry,2003,Rape,01. Rape,0,0,1,3,1,0,1,22,25,False
Punjab,2003,Rape,01. Rape,334,12,574,481,158,35,492,528,1009,True
Rajasthan,2003,Rape,01. Rape,965,17,928,931,378,0,1343,4363,5294,True
Sikkim,2003,Rape,01. Rape,0,0,7,3,1,0,1,2,5,True
Tamil Nadu,2003,Rape,01. Rape,419,5,661,617,128,9,547,1627,2244,True
Tripura,2003,Rape,01. Rape,43,0,135,100,25,26,68,60,160,True
Uttar Pradesh,2003,Rape,01. Rape,981,8,1211,1121,969,34,1950,9185,10306,True
Uttarakhand,2003,Rape,01. Rape,63,0,154,123,71,26,134,352,475,True
West Bengal,2003,Rape,01. Rape,575,0,1497,1198,120,60,695,6510,7708,True
Andaman & Nicobar Islands,2004,Rape,01. Rape,4,0,11,11,0,0,4,49,60,True
Andhra Pradesh,2004,Rape,01. Rape,1036,19,1443,1293,211,33,1247,2622,3915,True
Arunachal Pradesh,2004,Rape,01. Rape,2,0,56,42,6,21,8,397,439,True
Assam,2004,Rape,01. Rape,478,50,1233,893,138,225,616,2888,3781,True
Bihar,2004,Rape,01. Rape,1037,0,1157,868,139,182,1176,6174,7042,True
Chandigarh,2004,Rape,01. Rape,23,0,27,20,1,8,24,77,97,True
Chhattisgarh,2004,Rape,01. Rape,630,501,1144,1156,329,12,959,4168,5324,True
Dadra & Nagar Haveli,2004,Rape,01. Rape,12,0,12,9,0,0,12,15,24,True
Daman & Diu,2004,Rape,01. Rape,0,0,2,5,0,0,0,4,9,False
Delhi,2004,Rape,01. Rape,510,0,737,684,105,9,615,2479,3163,True
Goa,2004,Rape,01. Rape,10,1,48,41,7,7,17,41,82,True
Gujarat,2004,Rape,01. Rape,335,1,481,487,50,0,385,3304,3791,True
Haryana,2004,Rape,01. Rape,355,0,573,569,157,0,512,829,1398,True
Himachal Pradesh,2004,Rape,01. Rape,136,0,187,174,28,3,164,663,837,True
Jammu & Kashmir,2004,Rape,01. Rape,143,4,271,269,14,0,157,1052,1321,True
Jharkhand,2004,Rape,01. Rape,354,29,759,721,189,21,543,2387,3108,True
Karnataka,2004,Rape,01. Rape,378,10,397,359,87,47,465,1461,1820,True
Kerala,2004,Rape,01. Rape,344,18,562,537,85,78,429,3406,3943,True
Lakshadweep,2004,Rape,01. Rape,0,0,0,2,2,0,2,2,4,False
Madhya Pradesh,2004,Rape,01. Rape,2763,44,4181,4235,889,5,3652,10366,14601,True
Maharashtra,2004,Rape,01. Rape,1481,23,1914,1812,290,22,1771,14663,16475,True
Manipur,2004,Rape,01. Rape,5,1,29,2,0,15,5,71,73,True
Meghalaya,2004,Rape,01. Rape,2,0,57,26,3,7,5,312,338,True
Mizoram,2004,Rape,01. Rape,1,1,15,10,2,2,3,60,70,True
Nagaland,2004,Rape,01. Rape,9,0,20,41,35,0,44,59,100,True
Odisha,2004,Rape,01. Rape,599,0,906,896,165,0,764,3360,4256,True
Puducherry,2004,Rape,01. Rape,2,0,6,4,2,0,4,24,28,False
Punjab,2004,Rape,01. Rape,299,24,563,536,167,23,466,505,1041,True
Rajasthan,2004,Rape,01. Rape,806,22,995,997,335,1,1141,3934,4931,True
Sikkim,2004,Rape,01. Rape,2,0,3,2,2,1,4,4,6,False
Tamil Nadu,2004,Rape,01. Rape,471,8,681,727,127,24,598,1692,2419,True
Tripura,2004,Rape,01. Rape,56,0,190,130,24,59,80,92,222,True
Uttar Pradesh,2004,Rape,01. Rape,988,3,1942,1788,1130,111,2118,8348,10136,True
Uttarakhand,2004,Rape,01. Rape,42,0,226,185,49,29,91,341,526,True
West Bengal,2004,Rape,01. Rape,805,0,1661,1566,179,55,984,7013,8579,True
Andaman & Nicobar Islands,2005,Rape,01. Rape,7,0,8,8,2,0,9,56,64,True
Andhra Pradesh,2005,Rape,01. Rape,1030,14,1415,1348,197,74,1227,2649,3997,True
Arunachal Pradesh,2005,Rape,01. Rape,4,0,38,32,19,11,23,431,463,True
Assam,2005,Rape,01. Rape,507,40,1406,995,167,276,674,3115,4110,True
Bihar,2005,Rape,01. Rape,1017,2,1455,1113,207,162,1224,5866,6979,True
Chandigarh,2005,Rape,01. Rape,20,0,43,26,7,5,27,73,99,True
Chhattisgarh,2005,Rape,01. Rape,591,147,1107,1086,493,3,1084,3864,4950,True
Dadra & Nagar Haveli,2005,Rape,01. Rape,9,0,6,8,0,0,9,12,20,False
Daman & Diu,2005,Rape,01. Rape,4,0,1,0,0,0,4,9,9,False
Delhi,2005,Rape,01. Rape,1362,0,856,848,228,16,1590,2548,3396,True
Goa,2005,Rape,01. Rape,19,1,34,33,7,2,26,64,97,True
Gujarat,2005,Rape,01. Rape,313,0,501,475,47,0,360,3405,3880,True
Haryana,2005,Rape,01. Rape,405,0,627,617,147,0,552,886,1503,True
Himachal Pradesh,2005,Rape,01. Rape,202,2,176,190,30,11,232,673,863,True
Jammu & Kashmir,2005,Rape,01. Rape,220,0,248,237,5,9,225,1160,1397,True
Jharkhand,2005,Rape,01. Rape,1380,51,732,262,155,305,1535,2536,2798,True
Karnataka,2005,Rape,01. Rape,446,0,381,424,119,5,565,1345,1769,True
Kerala,2005,Rape,01. Rape,361,4,506,520,55,2,416,3496,4016,True
Lakshadweep,2005,Rape,01. Rape,0,0,0,0,0,0,0,2,2,False
Madhya Pradesh,2005,Rape,01. Rape,2710,253,3900,3895,888,1,3598,10905,14800,True
Maharashtra,2005,Rape,01. Rape,1590,14,2227,2111,208,26,1798,14681,16792,True
Manipur,2005,Rape,01. Rape,1,0,12,7,0,16,1,67,74,True
Meghalaya,2005,Rape,01. Rape,1,0,65,34,2,12,3,333,367,True
Mizoram,2005,Rape,01. Rape,2,0,36,28,72,0,74,66,94,True
Nagaland,2005,Rape,01. Rape,5,0,19,21,27,3,32,56,77,True
Odisha,2005,Rape,01. Rape,519,0,838,822,156,1,675,3492,4314,True
Puducherry,2005,Rape,01. Rape,1,0,10,8,3,0,4,24,32,True
Punjab,2005,Rape,01. Rape,272,9,553,503,120,73,392,551,1054,True
Rajasthan,2005,Rape,01. Rape,870,30,1110,1109,320,0,1190,3768,4877,True
Sikkim,2005,Rape,01. Rape,0,0,8,13,3,0,3,2,15,True
Tamil Nadu,2005,Rape,01. Rape,608,3,744,732,212,21,820,1813,2545,True
Tripura,2005,Rape,01. Rape,97,5,157,132,54,13,151,142,274,True
Uttar Pradesh,2005,Rape,01. Rape,948,21,1683,1666,980,54,1928,8015,9681,True
Uttarakhand,2005,Rape,01. Rape,65,0,225,215,46,16,111,435,650,True
West Bengal,2005,Rape,01. Rape,703,0,2085,1997,100,98,803,7595,9592,True
Andaman & Nicobar Islands,2006,Rape,01. Rape,2,0,7,10,1,0,3,55,65,True
Andhra Pradesh,2006,Rape,01. Rape,936,21,1360,1252,226,67,1162,2756,4008,True
Arunachal Pradesh,2006,Rape,01. Rape,1,1,40,29,3,7,4,440,469,True
Assam,2006,Rape,01. Rape,517,23,1290,941,203,414,720,3396,4337,True
Bihar,2006,Rape,01. Rape,1117,0,1451,1111,232,81,1349,5753,6864,True
Chandigarh,2006,Rape,01. Rape,10,0,27,31,11,2,21,72,103,True
Chhattisgarh,2006,Rape,01. Rape,637,32,1211,1208,276,0,913,3719,4927,True
Dadra & Nagar Haveli,2006,Rape,01. Rape,6,0,5,3,2,0,8,11,14,False
Daman & Diu,2006,Rape,01. Rape,2,0,2,3,3,0,5,5,8,False
Delhi,2006,Rape,01. Rape,403,0,778,647,209,23,612,1806,2453,True
Goa,2006,Rape,01. Rape,8,0,20,20,0,7,8,70,90,True
Gujarat,2006,Rape,01. Rape,225,6,539,551,69,0,294,3520,4071,True
Haryana,2006,Rape,01. Rape,363,0,772,749,153,0,516,951,1700,True
Himachal Pradesh,2006,Rape,01. Rape,105,1,131,121,39,5,144,629,750,True
Jammu & Kashmir,2006,Rape,01. Rape,162,5,301,301,15,4,177,1172,1473,True
Jharkhand,2006,Rape,01. Rape,741,51,943,1119,207,23,948,1212,2331,True
Karnataka,2006,Rape,01. Rape,452,3,475,435,55,10,507,1204,1639,True
Kerala,2006,Rape,01. Rape,395,1,666,594,80,1,475,3596,4190,True
Lakshadweep,2006,Rape,01. Rape,0,0,0,0,0,0,0,2,2,False
Madhya Pradesh,2006,Rape,01. Rape,2917,27,3878,3858,1139,3,4056,10949,14807,True
Maharashtra,2006,Rape,01. Rape,1358,14,2162,2049,222,14,1580,14980,17029,True
Manipur,2006,Rape,01. Rape,1,0,20,2,0,7,1,73,75,True
Meghalaya,2006,Rape,01. Rape,11,1,71,41,2,14,13,364,405,True
Mizoram,2006,Rape,01. Rape,6,0,77,73,74,0,80,20,93,True
Nagaland,2006,Rape,01. Rape,2,1,29,24,10,0,12,45,69,True
Odisha,2006,Rape,01. Rape,489,0,1020,995,186,3,675,3639,4634,True
Puducherry,2006,Rape,01. Rape,1,0,9,7,4,0,5,28,35,True
Punjab,2006,Rape,01. Rape,300,0,618,578,129,26,429,653,1231,True
Rajasthan,2006,Rape,01. Rape,761,11,1085,1083,377,0,1138,3657,4740,True
Sikkim,2006,Rape,01. Rape,1,0,17,14,1,0,2,12,26,True
Tamil Nadu,2006,Rape,01. Rape,426,1,573,546,146,4,572,1722,2268,True
Tripura,2006,Rape,01. Rape,67,0,167,145,20,51,87,118,263,True
Uttar Pradesh,2006,Rape,01. Rape,940,14,1770,1701,999,65,1939,7732,9433,True
Uttarakhand,2006,Rape,01. Rape,129,1,233,215,57,28,186,539,754,True
West Bengal,2006,Rape,01. Rape,861,0,2045,1774,160,185,1021,8789,10563,True
Andaman & Nicobar Islands,2007,Rape,01. Rape,4,0,3,3,1,0,5,62,65,False
Andhra Pradesh,2007,Rape,01. Rape,1086,5,1436,1467,199,17,1285,2825,4292,True
Arunachal Pradesh,2007,Rape,01. Rape,3,0,57,37,7,23,10,464,501,True
Assam,2007,Rape,01. Rape,610,22,1477,965,180,332,790,3594,4559,True
Bihar,2007,Rape,01. Rape,982,1,1816,1446,212,220,1194,5515,6961,True
Chandigarh,2007,Rape,01. Rape,12,0,24,25,14,0,26,82,107,True
Chhattisgarh,2007,Rape,01. Rape,612,51,1146,1126,238,3,850,3982,5108,True
Dadra & Nagar Haveli,2007,Rape,01. Rape,2,0,5,6,0,0,2,6,12,False
Daman & Diu,2007,Rape,01. Rape,1,0,4,4,0,0,1,3,7,False
Delhi,2007,Rape,01. Rape,411,0,731,657,227,18,638,1841,2498,True
Goa,2007,Rape,01. Rape,7,0,25,16,1,0,8,82,98,True
Gujarat,2007,Rape,01. Rape,251,5,503,479,59,4,310,3771,4250,True
Haryana,2007,Rape,01. Rape,415,0,607,616,180,0,595,1184,1800,True
Himachal Pradesh,2007,Rape,01. Rape,102,4,197,156,19,7,121,605,761,True
Jammu & Kashmir,2007,Rape,01. Rape,184,0,331,318,7,10,191,1291,1609,True
Jharkhand,2007,Rape,01. Rape,700,8,886,832,206,37,906,1332,2164,True
Karnataka,2007,Rape,01. Rape,276,0,518,514,59,10,335,1129,1643,True
Kerala,2007,Rape,01. Rape,596,5,555,655,88,0,684,3714,4369,True
Lakshadweep,2007,Rape,01. Rape,0,0,1,1,0,0,0,2,3,False
Madhya Pradesh,2007,Rape,01. Rape,2595,5,4131,4132,1133,0,3728,10724,14856,True
Maharashtra,2007,Rape,01. Rape,1112,13,2097,2026,178,13,1290,15435,17461,True
Manipur,2007,Rape,01. Rape,4,1,12,2,0,14,4,74,76,True
Meghalaya,2007,Rape,01. Rape,10,0,76,34,17,23,27,391,425,True
Mizoram,2007,Rape,01. Rape,4,0,87,95,32,0,36,13,108,True
Nagaland,2007,Rape,01. Rape,2,3,15,15,31,0,33,56,71,True
Odisha,2007,Rape,01. Rape,528,0,1026,1000,181,6,709,3959,4959,True
Puducherry,2007,Rape,01. Rape,3,0,14,12,8,0,11,30,42,True
Punjab,2007,Rape,01. Rape,351,2,709,518,121,57,472,802,1320,True
Rajasthan,2007,Rape,01. Rape,593,15,1201,1205,300,0,893,3591,4796,True
Sikkim,2007,Rape,01. Rape,3,0,30,21,0,6,3,24,45,True
Tamil Nadu,2007,Rape,01. Rape,467,14,615,591,131,10,598,1695,2286,True
Tripura,2007,Rape,01. Rape,130,1,165,161,56,8,186,176,337,True
Uttar Pradesh,2007,Rape,01. Rape,923,9,2283,1980,962,320,1885,7480,9460,True
Uttarakhand,2007,Rape,01. Rape,100,0,171,156,75,27,175,567,723,True
West Bengal,2007,Rape,01. Rape,1104,20,2409,2433,100,142,1204,9542,11975,True
Andaman & Nicobar Islands,2008,Rape,01. Rape,6,0,13,2,0,0,6,60,62,True
Andhra Pradesh,2008,Rape,01. Rape,1317,3,1531,1526,244,32,1561,3002,4528,True
Arunachal Pradesh,2008,Rape,01. Rape,1,0,37,28,2,20,3,491,519,True
Assam,2008,Rape,01. Rape,635,42,1445,967,201,414,836,3747,4714,True
Bihar,2008,Rape,01. Rape,918,4,1464,1323,221,89,1139,5766,7089,True
Chandigarh,2008,Rape,01. Rape,12,0,27,26,7,0,19,81,107,True
Chhattisgarh,2008,Rape,01. Rape,619,39,1108,1059,207,0,826,4207,5266,True
Dadra & Nagar Haveli,2008,Rape,01. Rape,6,0,8,8,0,0,6,10,18,True
Daman & Diu,2008,Rape,01. Rape,2,0,0,0,0,0,2,6,6,False
Delhi,2008,Rape,01. Rape,324,0,573,702,155,17,479,1860,2562,True
Goa,2008,Rape,01. Rape,20,0,41,20,6,0,26,90,110,True
Gujarat,2008,Rape,01. Rape,248,3,529,535,75,1,323,3935,4470,True
Haryana,2008,Rape,01. Rape,529,0,849,801,175,0,704,1205,2006,True
Himachal Pradesh,2008,Rape,01. Rape,129,2,182,176,48,1,177,636,812,True
Jammu & Kashmir,2008,Rape,01. Rape,194,5,234,236,17,0,211,1418,1654,True
Jharkhand,2008,Rape,01. Rape,451,44,802,761,152,21,603,1250,2011,True
Karnataka,2008,Rape,01. Rape,353,11,642,581,53,17,406,1308,1889,True
Kerala,2008,Rape,01. Rape,325,1,623,557,45,7,370,3680,4237,True
Lakshadweep,2008,Rape,01. Rape,0,0,1,1,1,0,1,3,4,False
Madhya Pradesh,2008,Rape,01. Rape,2888,13,3875,3847,1357,0,4245,11123,14970,True
Maharashtra,2008,Rape,01. Rape,1221,13,2206,2056,219,31,1440,16158,18214,True
Manipur,2008,Rape,01. Rape,0,0,19,6,0,14,0,71,77,True
Meghalaya,2008,Rape,01. Rape,20,1,82,57,11,6,31,398,455,True
Mizoram,2008,Rape,01. Rape,10,0,94,81,92,0,102,72,153,True
Nagaland,2008,Rape,01. Rape,3,2,27,20,15,9,18,35,55,True
Odisha,2008,Rape,01. Rape,667,0,1045,1065,212,0,879,4250,5315,True
Puducherry,2008,Rape,01. Rape,2,0,8,9,0,0,2,31,40,True
Punjab,2008,Rape,01. Rape,410,4,663,589,224,57,634,846,1435,True
Rajasthan,2008,Rape,01. Rape,623,16,1211,1205,273,0,896,3888,5093,True
Sikkim,2008,Rape,01. Rape,2,0,24,20,5,1,7,42,62,True
Tamil Nadu,2008,Rape,01. Rape,472,1,740,583,113,13,585,1674,2257,True
Tripura,2008,Rape,01. Rape,84,0,210,173,21,49,105,150,323,True
Uttar Pradesh,2008,Rape,01. Rape,1181,4,2825,2199,1157,580,2338,7566,9765,True
Uttarakhand,2008,Rape,01. Rape,105,0,108,106,81,1,186,548,654,True
West Bengal,2008,Rape,01. Rape,1351,29,1790,1664,148,84,1499,10751,12415,True
Andaman & Nicobar Islands,2009,Rape,01. Rape,2,0,36,27,1,0,3,56,83,True
Andhra Pradesh,2009,Rape,01. Rape,1278,2,1487,1302,182,20,1460,2964,4266,True
Arunachal Pradesh,2009,Rape,01. Rape,2,0,60,51,3,6,5,516,567,True
Assam,2009,Rape,01. Rape,408,32,1644,1040,235,462,643,3836,4876,True
Bihar,2009,Rape,01. Rape,1031,0,1086,1043,237,99,1268,5946,6989,True
Chandigarh,2009,Rape,01. Rape,19,0,38,25,26,1,45,88,113,True
Chhattisgarh,2009,Rape,01. Rape,577,45,1128,1117,243,5,820,4401,5518,True
Dadra & Nagar Haveli,2009,Rape,01. Rape,1,0,5,5,1,0,2,12,17,False
Daman & Diu,2009,Rape,01. Rape,0,0,1,1,0,0,0,4,5,False
Delhi,2009,Rape,01. Rape,249,0,557,615,195,7,444,2083,2698,True
Goa,2009,Rape,01. Rape,20,0,56,41,7,4,27,84,125,True
Gujarat,2009,Rape,01. Rape,244,2,610,597,44,0,288,4144,4741,True
Haryana,2009,Rape,01. Rape,492,0,848,832,230,0,722,1302,2134,True
Himachal Pradesh,2009,Rape,01. Rape,125,0,250,260,40,5,165,633,893,True
Jammu & Kashmir,2009,Rape,01. Rape,266,12,303,301,12,0,278,1438,1739,True
Jharkhand,2009,Rape,01. Rape,508,12,765,764,341,10,849,1364,2128,True
Karnataka,2009,Rape,01. Rape,468,1,595,567,48,22,516,1472,2039,True
Kerala,2009,Rape,01. Rape,329,1,694,751,57,0,386,3866,4617,True
Lakshadweep,2009,Rape,01. Rape,0,0,0,0,0,0,0,3,3,False
Madhya Pradesh,2009,Rape,01. Rape,2536,15,4243,4221,854,0,3390,10712,14933,True
Maharashtra,2009,Rape,01. Rape,1136,10,2075,2076,225,13,1361,16761,18837,True
Manipur,2009,Rape,01. Rape,0,0,22,7,0,9,0,77,84,True
Meghalaya,2009,Rape,01. Rape,18,0,110,96,7,10,25,423,519,True
Mizoram,2009,Rape,01. Rape,21,0,81,117,53,0,74,51,168,True
Nagaland,2009,Rape,01. Rape,1,0,27,29,16,2,17,35,64,True
Odisha,2009,Rape,01. Rape,641,0,1119,1100,183,0,824,4436,5536,True
Puducherry,2009,Rape,01. Rape,2,0,1,8,4,1,6,38,46,False
Punjab,2009,Rape,01. Rape,429,0,681,631,234,41,663,797,1428,True
Rajasthan,2009,Rape,01. Rape,545,23,1388,1387,296,0,841,4181,5568,True
Sikkim,2009,Rape,01. Rape,12,1,19,19,5,0,17,55,74,True
Tamil Nadu,2009,Rape,01. Rape,439,0,776,776,111,13,550,1671,2447,True
Tripura,2009,Rape,01. Rape,144,4,336,169,24,94,168,218,387,True
Uttar Pradesh,2009,Rape,01. Rape,1381,0,2918,2168,1187,774,2568,7423,9591,True
Uttarakhand,2009,Rape,01. Rape,116,0,138,146,83,2,199,468,614,True
West Bengal,2009,Rape,01. Rape,1088,38,1748,1707,132,45,1220,10887,12594,True
Andaman & Nicobar Islands,2010,Rape,01. Rape,0,0,39,28,0,0,0,80,108,True
Andhra Pradesh,2010,Rape,01. Rape,1134,19,1761,1674,173,54,1307,2804,4478,True
Arunachal Pradesh,2010,Rape,01. Rape,2,2,49,40,4,5,6,562,602,True
Assam,2010,Rape,01. Rape,532,78,1629,1153,117,461,649,4201,5354,True
Bihar,2010,Rape,01. Rape,1188,0,892,816,280,94,1468,5721,6537,True
Chandigarh,2010,Rape,01. Rape,24,0,44,38,16,9,40,68,106,True
Chhattisgarh,2010,Rape,01. Rape,762,2,1198,1203,270,12,1032,4653,5856,True
Dadra & Nagar Haveli,2010,Rape,01. Rape,2,0,3,4,2,0,4,15,19,False
Daman & Diu,2010,Rape,01. Rape,0,0,1,1,0,0,0,5,6,False
Delhi,2010,Rape,01. Rape,331,0,602,532,201,11,532,2254,2786,True
Goa,2010,Rape,01. Rape,25,0,50,62,7,2,32,98,160,True
Gujarat,2010,Rape,01. Rape,255,2,617,620,40,0,295,4451,5071,True
Haryana,2010,Rape,01. Rape,557,0,866,853,161,1,718,1412,2265,True
Himachal Pradesh,2010,Rape,01. Rape,146,1,197,204,38,1,184,728,932,True
